pref_id;pref_name;year;month;year_month;date;n_m;n_f;n_total;ln_ratio_mf;;u_rate;n_ei_insured;n_care_need_2to5;n_ltc_facility_users;share_75plus;z_u_rate;z_ln_ei;z_ln_need;z_ln_fac;z_oldshare75;moy;t_index;ln_ei;ln_need;ln_fac
36;Tokushima;2014;1;201401;2014-01-01;0;6;6;-2.56494935746154;;4.1;189589;25062;8447;0.157;2.02106480924872;-1.25782631812121;-1.18129053856983;-1.01608654651831;0.466967584922867;1;0;12.1526138502424;10.1291080337252;9.0415666277275
37;Kagawa;2014;1;201401;2014-01-01;0;5;5;-2.39789527279837;;3.1;302163;28702;8991;0.146;0.634095712191742;-0.704438963970461;-0.975724039485499;-0.915590447728131;-0.0640684148684381;1;0;12.6187218858517;10.2647220857309;9.10397935598477
38;Ehime;2014;1;201401;2014-01-01;3;8;11;-0.887303195000903;;3.6;378020;44172;12012;0.152;1.32758026072023;-0.438517835455087;-0.322217185413691;-0.44914844061301;0.225587585017729;1;0;12.8427023832549;10.695846383167;9.39366142910322
39;Kochi;2014;1;201401;2014-01-01;0;8;8;-2.83321334405622;;3.3;189351;25086;8079;0.169;0.911489531603137;-1.25931766681937;-1.17983964585323;-1.08780945625717;1.0462795846952;1;0;12.1513577145412;10.1300652005846;8.99702338147971
40;Fukuoka;2014;1;201401;2014-01-01;2;22;24;-2.19722457733622;;4.8;1551441;114729;35448;0.119;2.9919431771886;1.23787186736916;1.12460534529893;1.293331499301;-1.36752041435619;1;0;14.2546947344324;11.6503281046391;10.4758221128793
41;Saga;2014;1;201401;2014-01-01;0;3;3;-1.94591014905531;;3.7;223003;20566;7019;0.142;1.46627717042593;-1.06510379423732;-1.48098866836056;-1.31427783614012;-0.257172414792549;1;0;12.3149405032666;9.93139450578914;8.85637603673042
42;Nagasaki;2014;1;201401;2014-01-01;0;8;8;-2.83321334405622;;3.8;346184;40701;12075;0.151;1.60497408013163;-0.542968258341065;-0.446269536674107;-0.440725478282704;0.177311585036701;1;0;12.7547257045962;10.6140079411534;9.39889247852077
43;Kumamoto;2014;1;201401;2014-01-01;2;9;11;-1.33500106673234;;4.1;452158;52499;16516;0.15;2.02106480924872;-0.225899451094817;-0.0604304886311985;0.063572540764289;0.129035585055673;1;0;13.0217869552555;10.8685494007793;9.71208488700598
44;Oita;2014;1;201401;2014-01-01;2;1;3;0.510825623765991;;3.6;314765;33031;10454;0.153;1.32758026072023;-0.655928207653959;-0.762782081939328;-0.672837840932089;0.273863584998756;1;0;12.6595816076416;10.4052017934337;9.25473995927287
45;Miyazaki;2014;1;201401;2014-01-01;1;7;8;-1.6094379124341;;3.3;278353;30868;9352;0.15;0.911489531603137;-0.801884409505273;-0.86544321679596;-0.852203630244545;0.129035585055673;1;0;12.5366453713513;10.3374753275775;9.1433455031519
46;Kagoshima;2014;1;201401;2014-01-01;0;7;7;-2.70805020110221;;3.7;432783;51613;16624;0.157;1.46627717042593;-0.277895391610387;-0.0862305690566541;0.0740674532180604;0.466967584922867;1;0;12.9779917266302;10.8515288577231;9.71860271333901
47;Okinawa;2014;1;201401;2014-01-01;4;10;14;-0.847297860387204;;4.8;362983;30706;8635;0.097;2.9919431771886;-0.486709673845861;-0.873419421515273;-0.980642548896703;-2.4295924139388;1;0;12.8021112801944;10.3322133542188;9.06357899058078
1;Hokkaido;2014;2;201402;2014-02-01;5;17;22;-1.15745278869104;;4.6;1407950;136394;42012;0.136;2.71454935777721;1.12264980812847;1.38680421311141;1.5668835089867;-0.546828414678714;2;0;14.1576453037059;11.8233030351542;10.6457105707427
2;Aomori;2014;2;201402;2014-02-01;0;6;6;-2.56494935746154;;4.8;338338;45124;11428;0.147;2.9919431771886;-0.570186028931778;-0.289895124754396;-0.529399570678847;-0.0157924148874103;2;0;12.7318006747982;10.7171695347248;9.34382176335066
3;Iwate;2014;2;201402;2014-02-01;0;5;5;-2.39789527279837;;3.1;355123;41960;12921;0.158;0.634095712191742;-0.512700732592748;-0.400091410717512;-0.331689006384593;0.515243584903895;2;0;12.7802194873209;10.6444720625102;9.46660917372222
4;Miyagi;2014;2;201402;2014-02-01;3;13;16;-1.34992671694902;;4;675589;54600;15949;0.122;1.88236789954302;0.250845124625717;-0.000950072222506094;0.00732314706096859;-1.2226924144131;2;0;13.4233401819597;10.907789161733;9.67715141032275
5;Akita;2014;2;201402;2014-02-01;1;4;5;-1.09861228866811;;4.4;278781;41112;11725;0.178;2.43715553836581;-0.800060275129377;-0.43103950522378;-0.488087303282719;1.48076358452445;2;0;12.5381818063353;10.6240553286721;9.36947859331448
6;Yamagata;2014;2;201402;2014-02-01;2;11;13;-1.52605630349505;;3.3;311276;36934;11629;0.166;0.911489531603137;-0.66916172604992;-0.593486171141746;-0.501325183120172;0.901451584752117;2;0;12.6484352574088;10.5168878150058;9.36125725729304
