pref_id;pref_name;year;month;year_month;date;n_m;n_f;n_total;ln_ratio_mf;;u_rate;n_ei_insured;n_care_need_2to5;n_ltc_facility_users;share_75plus;z_u_rate;z_ln_ei;z_ln_need;z_ln_fac;z_oldshare75;moy;t_index;ln_ei;ln_need;ln_fac
17;Ishikawa;2014;11;201411;2014-11-01;0;5;5;-2.39789527279837;;2.6;356623;31302;10760;0.131;-0.0593888363367464;-0.507696476772024;-0.844279421124486;-0.62638256795883;-0.788208414583853;11;0;12.7844344803683;10.3514372722504;9.28359083371578
18;Fukui;2014;11;201411;2014-11-01;1;2;3;-0.510825623765991;;2.1;244680;23442;7964;0.146;-0.752873384865235;-0.954967231558926;-1.28258289335701;-1.11089423555463;-0.0640684148684381;11;0;12.4077065133565;10.0622845642831;8.98268666518409
19;Yamanashi;2014;11;201411;2014-11-01;0;2;2;-1.6094379124341;;2.7;202857;24209;6498;0.14;0.0793080733689514;-1.17751740615467;-1.23378079468337;-1.43846555458881;-0.353724414754603;11;0;12.2202565762965;10.0944797438333;8.77924971622905
20;Nagano;2014;11;201411;2014-11-01;1;9;10;-1.84582669049833;;2.7;591969;61148;19145;0.153;0.0793080733689514;0.0939728620862878;0.170736666985406;0.301416292160434;0.273863584998756;11;0;13.2912095476302;11.0210524341209;9.8597968639114
21;Gifu;2014;11;201411;2014-11-01;0;6;6;-2.56494935746154;;2.2;555947;53115;15750;0.132;-0.614176475159537;0.0194356811600891;-0.0427480651027836;-0.0128939711853706;-0.739932414602825;11;0;13.2284282449481;10.8802146532141;9.66459564425378
22;Shizuoka;2014;11;201411;2014-11-01;0;18;18;-3.61091791264422;;2.5;1099130;85198;29322;0.13;-0.198085746042444;0.828667651036878;0.673505080237884;0.987832935593687;-0.836484414564881;11;0;13.9100295157441;11.3527332383635;10.2860933664982
23;Aichi;2014;11;201411;2014-11-01;10;27;37;-0.962810747509048;;2.7;2645623;142277;39657;0.104;0.0793080733689514;1.87153446089894;1.45081442210213;1.47399540000039;-2.0916604140716;11;0;14.788417134292;11.865531140656;10.5880227562475
24;Mie;2014;11;201411;2014-11-01;1;4;5;-1.09861228866811;;2.3;463067;50404;15118;0.133;-0.47547956545384;-0.197595291021332;-0.122160114960989;-0.0788379752860665;-0.691656414621798;11;0;13.0456270310224;10.8278258159896;9.62364136585212
25;Shiga;2014;11;201411;2014-11-01;1;9;10;-1.84582669049833;;2.6;358554;31677;8284;0.11;-0.0593888363367464;-0.501285230994485;-0.826227713834854;-1.04746167242343;-1.80200441418544;11;0;12.7898345552937;10.3633461444746;9.02208122251547
26;Kyoto;2014;11;201411;2014-11-01;7;14;21;-0.659245628884264;;3.2;709800;75533;20562;0.126;0.77279262189744;0.309493362916888;0.490987745928073;0.416388605092528;-1.02958841448899;11;0;13.4727385191945;11.2323249258355;9.93119999110266
27;Osaka;2014;11;201411;2014-11-01;14;57;71;-1.37763629837678;;4.3;3359456;229051;49047;0.115;2.29845862866011;2.15513611430248;2.1726006734503;1.81617850585401;-1.5606244142803;11;0;15.0272896140695;12.3416999651643;10.8005343010435
28;Hyogo;2014;11;201411;2014-11-01;11;22;33;-0.67116827384117;;3.6;1311047;129455;37483;0.124;1.32758026072023;1.03798847452151;1.30765653963487;1.38321314709821;-1.12614041445105;11;0;14.086336612599;11.7710886093855;10.5316427758385
29;Nara;2014;11;201411;2014-11-01;0;2;2;-1.6094379124341;;3.3;225295;35159;10295;0.129;0.911489531603137;-1.05296363922412;-0.668143196271834;-0.697516098120054;-0.884760414545909;11;0;12.325165933542;10.467635909984;9.23941361946189
30;Wakayama;2014;11;201411;2014-11-01;0;4;4;-2.19722457733622;;2.6;228121;33963;9283;0.154;-0.0593888363367464;-1.03816391659954;-0.720604112696592;-0.864127787906367;0.322139584979784;11;0;12.3376314689186;10.4330269757462;9.13594004939993
31;Tottori;2014;11;201411;2014-11-01;0;5;5;-2.39789527279837;;2.8;154659;19295;6060;0.157;0.218004983074649;-1.49959327142382;-1.57768772820014;-1.55083179760466;0.466967584922867;11;0;11.9489779723462;9.86760127397172;8.70946507906336
32;Shimane;2014;11;201411;2014-11-01;0;2;2;-1.6094379124341;;2;199283;25214;7834;0.176;-0.891570294570933;-1.19862123934965;-1.1721249188072;-1.13739491916186;1.38421158456239;11;0;12.2024812040179;10.1351546747912;8.96622851422578
33;Okayama;2014;11;201411;2014-11-01;0;11;11;-3.13549421592915;;3;556524;58374;16320;0.141;0.495398802486044;0.0206672531118996;0.100362341454413;0.044349724555465;-0.305448414773577;11;0;13.2294655754524;10.9746258642035;9.7001466285181
34;Hiroshima;2014;11;201411;2014-11-01;2;18;20;-2.00148000021012;;3;943358;74338;21478;0.132;0.495398802486044;0.64722195581696;0.466814378844438;0.486567663811027;-0.739932414602825;11;0;13.7572011290193;11.2163775400726;9.97478443441816
35;Yamaguchi;2014;11;201411;2014-11-01;0;7;7;-2.70805020110221;;2.8;380760;42609;13067;0.159;0.218004983074649;-0.429943327425038;-0.37682552072051;-0.313596838960155;0.563519584884923;11;0;12.8499245343652;10.6598207775492;9.47784524698915
36;Tokushima;2014;11;201411;2014-11-01;0;3;3;-1.94591014905531;;3;192751;25691;8389;0.158;0.495398802486044;-1.23818843516219;-1.1437164195584;-1.02718076784883;0.515243584903895;11;0;12.1691544794796;10.1538960149984;9.03467660284629
37;Kagawa;2014;11;201411;2014-11-01;1;4;5;-1.09861228866811;;2.8;304962;29275;9016;0.148;0.218004983074649;-0.693491828437693;-0.945760668830419;-0.911119444798844;0.0324835850936174;11;0;12.6279424576636;10.2844891884659;9.10675605571961
38;Ehime;2014;11;201411;2014-11-01;0;5;5;-2.39789527279837;;2.8;381736;45227;12164;0.154;0.218004983074649;-0.426903946586563;-0.286439058240921;-0.428900964524295;0.322139584979784;11;0;12.8524845491929;10.7194495326135;9.40623604879726
39;Kochi;2014;11;201411;2014-11-01;0;9;9;-2.94443897916644;;3;190995;25188;8058;0.171;0.495398802486044;-1.24905410031657;-1.17368879820859;-1.09200031258198;1.14283158465726;11;0;12.1600025286756;10.1341229696086;8.99442066575129
40;Fukuoka;2014;11;201411;2014-11-01;4;19;23;-1.46633706879343;;4.2;1578238;118929;35774;0.122;2.15976171895442;1.25820337715222;1.17910491312246;1.30807200894761;-1.2226924144131;11;0;14.2718195928428;11.6862819553785;10.4849766515532
41;Saga;2014;11;201411;2014-11-01;2;1;3;0.510825623765991;;3.2;226304;20941;6855;0.143;0.77279262189744;-1.04765831960147;-1.45359820480171;-1.35234656872037;-0.208896414811521;11;0;12.3296345071172;9.94946423877615;8.83273359199642
42;Nagasaki;2014;11;201411;2014-11-01;0;8;8;-2.83321334405622;;3.1;351010;41250;11831;0.153;0.634095712191742;-0.526531610546324;-0.425959896602176;-0.473595805247308;0.273863584998756;11;0;12.7685699920707;10.6274063917628;9.37847848425366
43;Kumamoto;2014;11;201411;2014-11-01;0;8;8;-2.83321334405622;;3.2;456300;53768;15750;0.152;0.77279262189744;-0.215073130430921;-0.0242260773536849;-0.0128939711853706;0.225587585017729;11;0;13.0309057669155;10.8924337736498;9.66459564425378
44;Oita;2014;11;201411;2014-11-01;0;1;1;-1.09861228866811;;3.5;318591;33552;10132;0.155;1.18888335101453;-0.641584051796879;-0.739059559233055;-0.72321403540314;0.370415584960812;11;0;12.6716634274715;10.4208517531417;9.22345401112157
45;Miyazaki;2014;11;201411;2014-11-01;0;7;7;-2.70805020110221;;3;281773;31373;9350;0.152;0.495398802486044;-0.787386065276674;-0.840845092617625;-0.852548018217284;0.225587585017729;11;0;12.5488570612233;10.3537029293824;9.14313162228273
46;Kagoshima;2014;11;201411;2014-11-01;0;9;9;-2.94443897916644;;3.9;437146;52434;16490;0.159;1.74367098983732;-0.265986326169968;-0.062308416753874;0.0610357387507257;0.563519584884923;11;0;12.9880225143899;10.8673105148556;9.71050941555364
47;Okinawa;2014;11;201411;2014-11-01;4;6;10;-0.367724780125317;;4.9;374270;31878;8523;0.099;3.1306400868943;-0.450354305737315;-0.816639771238332;-1.00166404196341;-2.33304041397674;11;0;12.8327327410678;10.369671395679;9.0505236705223
1;Hokkaido;2014;12;201412;2014-12-01;3;12;15;-1.27296567581289;;4.3;1445023;139241;42187;0.14;2.29845862866011;1.15350705336443;1.4181187643172;1.57357677016124;-0.353724414754603;12;0;14.183635796357;11.8439615237439;10.6498673956928
2;Aomori;2014;12;201412;2014-12-01;1;5;6;-1.29928298413026;;3.7;345496;46138;11424;0.149;1.46627717042593;-0.545330128392521;-0.256209586736504;-0.529963262601425;0.0807595850746452;12;0;12.7527363446988;10.739392184451;9.34347168457936
3;Iwate;2014;12;201412;2014-12-01;2;5;7;-0.78845736036427;;2.8;358872;42977;12890;0.16;0.218004983074649;-0.500232729617391;-0.363790089316092;-0.335556798316212;0.611795584865951;12;0;12.7907210579318;10.6684203678534;9.46420709593323
4;Miyagi;2014;12;201412;2014-12-01;7;15;22;-0.725937003382936;;3.6;685002;55515;15882;0.125;1.32758026072023;0.267272948192032;0.0242419047017598;0.000544684639409253;-1.07786441447002;12;0;13.4371770369481;10.9244085334884;9.67294167145516
5;Akita;2014;12;201412;2014-12-01;1;5;6;-1.29928298413026;;3.1;282958;41151;12038;0.18;0.634095712191742;-0.782403534436369;-0.429602237281283;-0.445666956099074;1.5773155844865;12;0;12.5530537557175;10.6250035071465;9.39582359210772
6;Yamagata;2014;12;201412;2014-12-01;2;6;8;-0.955511445027436;;2.4;315989;37654;11499;0.167;-0.336782655748142;-0.651320397412649;-0.564220757488541;-0.519426737892455;0.949727584733145;12;0;12.6634626818366;10.5361944692847;9.35001535404867
7;Fukushima;2014;12;201412;2014-12-01;2;11;13;-1.52605630349505;;3.1;549402;59836;17076;0.148;0.634095712191742;0.00537559636427134;0.137859032404601;0.117263162498716;0.0324835850936174;12;0;13.2165856929716;10.9993627654944;9.74542924787785
8;Ibaraki;2014;12;201412;2014-12-01;4;13;17;-1.09861228866811;;3.1;739048;68123;22574;0.12;0.634095712191742;0.357434131151457;0.334472122444242;0.566706049211192;-1.31924441437516;12;0;13.5131181504597;11.1290701737364;10.0245540805156
9;Tochigi;2014;12;201412;2014-12-01;4;4;8;0 ;;2.9;534414;45165;12807;0.119;0.356701892780346;-0.02746329215694;-0.288518464777664;-0.345958471622148;-1.36752041435619;12;0;13.1889260984662;10.7180777295839;9.45774717542607
10;Gunma;2014;12;201412;2014-12-01;3;8;11;-0.887303195000903;;2.7;564504;50889;15150;0.129;0.0793080733689514;0.0375703547562823;-0.107644238396121;-0.0754333254955251;-0.884760414545909;12;0;13.2437027484635;10.8374020691638;9.62575581093752
11;Saitama;2014;12;201412;2014-12-01;5;27;32;-1.6094379124341;;3.2;1371809;136837;40049;0.101;0.77279262189744;1.09177600512321;1.39171953289967;1.48983355485782;-2.23648841401468;12;0;14.131640864749;11.826545715437;10.5978589833958
12;Chiba;2014;12;201412;2014-12-01;3;10;13;-1.09861228866811;;3.1;1096519;127670;33843;0.111;0.634095712191742;0.825843962451026;1.28661010496936;1.21872409541467;-1.75372841420441;12;0;13.9076511745513;11.7572040888144;10.429487462273
13;Tokyo;2014;12;201412;2014-12-01;63;127;190;-0.697076458699835;;3.8;9214566;283773;69293;0.107;1.60497408013163;3.35308028113614;2.49733470664256;2.37260220621542;-1.94683241412852;12;0;16.0362960508527;12.5559299017615;11.1460991699751
14;Kanagawa;2014;12;201412;2014-12-01;8;12;20;-0.385662480811985;;3.1;2018106;191608;50050;0.105;0.634095712191742;1.5500895905046;1.90203730240652;1.84877427909711;-2.04338441409057;12;0;14.5176700057709;12.1632068973007;10.8207777847434
15;Niigata;2014;12;201412;2014-12-01;3;16;19;-1.55059741241117;;3;702423;75964;25159;0.154;0.495398802486044;0.29708961048709;0.499612605880676;0.741277393506694;0.322139584979784;12;0;13.4622910656417;11.2380148228341;10.1329709643965
16;Toyama;2014;12;201412;2014-12-01;0;8;8;-2.83321334405622;;2.5;352635;34525;11694;0.147;-0.198085746042444;-0.52104791711326;-0.695726470199952;-0.492350149170826;-0.0157924148874103;12;0;12.7731888066402;10.4494389782775;9.36683116873562
17;Ishikawa;2014;12;201412;2014-12-01;1;10;11;-1.94591014905531;;2.6;356426;31212;10762;0.131;-0.0593888363367464;-0.508352500424923;-0.848644008216943;-0.626083304699834;-0.788208414583853;12;0;12.7838819236576;10.3485579152367;9.28377669004936
18;Fukui;2014;12;201412;2014-12-01;2;8;10;-1.22377543162212;;2.1;244664;23465;7939;0.146;-0.752873384865235;-0.955044870276151;-1.28109638328632;-1.11595676239488;-0.0640684148684381;12;0;12.4076411196866;10.0632652282285;8.97954260172511
19;Yamanashi;2014;12;201412;2014-12-01;2;5;7;-0.78845736036427;;2.7;202825;24243;6477;0.14;0.0793080733689514;-1.17770470576622;-1.23165341541492;-1.44367772178635;-0.353724414754603;12;0;12.2200988172633;10.0958831949016;8.77601271918292
20;Nagano;2014;12;201412;2014-12-01;1;5;6;-1.29928298413026;;2.7;590801;60915;19077;0.153;0.0793080733689514;0.0916280107180644;0.164949712697748;0.295686986481671;0.273863584998756;12;0;13.2892345222581;11.0172347287885;9.85623869993552
21;Gifu;2014;12;201412;2014-12-01;1;6;7;-1.46633706879343;;2.2;555833;53039;15817;0.132;-0.614176475159537;0.0191922037733745;-0.0449185408922767;-0.00605881920093268;-0.739932414602825;12;0;13.2282231684035;10.8787827709867;9.66884058996349
22;Shizuoka;2014;12;201412;2014-12-01;9;15;24;-0.489548225318706;;2.5;1098235;84992;29312;0.13;-0.198085746042444;0.827700501801782;0.669835545214848;0.987283702733566;-0.836484414564881;12;0;13.9092149036523;11.3503124133961;10.2857522674739
23;Aichi;2014;12;201412;2014-12-01;17;21;38;-0.205852054204149;;2.7;2649540;142119;39715;0.104;0.0793080733689514;1.8732909560425;1.44913015374019;1.47634864301622;-2.0916604140716;12;0;14.7898965979891;11.8644200138029;10.5894842290672
24;Mie;2014;12;201412;2014-12-01;0;7;7;-2.70805020110221;;2.3;463796;50319;14961;0.133;-0.47547956545384;-0.195727687396028;-0.124718512443818;-0.0956471439142055;-0.691656414621798;12;0;13.0472000793593;10.8261380183629;9.61320209421423
25;Shiga;2014;12;201412;2014-12-01;2;8;10;-1.22377543162212;;2.6;359038;31655;8283;0.11;-0.0593888363367464;-0.499683681092549;-0.827280832082821;-1.04765605715963;-1.80200441418544;12;0;12.7911835114509;10.3626513929782;9.02196050059826
26;Kyoto;2014;12;201412;2014-12-01;2;11;13;-1.52605630349505;;3.2;709772;75554;20522;0.126;0.77279262189744;0.309446527623746;0.491409121973049;0.413253201589109;-1.02958841448899;12;0;13.4726990706847;11.2326029113688;9.92925276042215
27;Osaka;2014;12;201412;2014-12-01;24;47;71;-0.662056593489914;;4.3;3364365;229068;49105;0.115;2.29845862866011;2.1568697171118;2.17271317234627;1.8180814889124;-1.5606244142803;12;0;15.0287497959727;12.3417741816889;10.8017161415919
28;Hyogo;2014;12;201412;2014-12-01;8;25;33;-1.09861228866811;;3.6;1312568;129265;37584;0.124;1.32758026072023;1.03936505559298;1.30543014924166;1.38754604651166;-1.12614041445105;12;0;14.0874960816297;11.7696198397955;10.5343337068987
29;Nara;2014;12;201412;2014-12-01;1;8;9;-1.73460105538811;;3.3;225848;35202;10388;0.129;0.911489531603137;-1.05005303093593;-0.666290457673398;-0.683035770940446;-0.884760414545909;12;0;12.3276174856085;10.4688581781539;9.24840657278264
30;Wakayama;2014;12;201412;2014-12-01;2;5;7;-0.78845736036427;;2.6;228467;33871;9260;0.154;-0.0593888363367464;-1.03636453065088;-0.724715783248253;-0.86812221125551;0.322139584979784;12;0;12.3391470587555;10.4303144700291;9.13345932764022
31;Tottori;2014;12;201412;2014-12-01;1;5;6;-1.29928298413026;;2.8;154792;19082;6040;0.157;0.218004983074649;-1.49857272582692;-1.59451410785472;-1.55615473124689;0.466967584922867;12;0;11.9498375592158;9.85650076131179;8.70615929092886
32;Shimane;2014;12;201412;2014-12-01;2;3;5;-0.336472236621213;;2;199259;25125;7816;0.176;-0.891570294570933;-1.19876423070492;-1.17748490311414;-1.14109886294047;1.38421158456239;12;0;12.2023607650176;10.1316186453614;8.96392819372262
33;Okayama;2014;12;201412;2014-12-01;2;7;9;-1.09861228866811;;3;557612;58279;16252;0.141;0.495398802486044;0.0229860540216171;0.0978934304691852;0.0376266001308495;-0.305448414773577;12;0;13.2314186590003;10.972997101617;9.69597125710762
34;Hiroshima;2014;12;201412;2014-12-01;1;18;19;-2.51230562397612;;3;944969;74220;21507;0.132;0.495398802486044;0.649247730218691;0.464406338839723;0.488740300774444;-0.739932414602825;12;0;13.758907401705;11.2147889346146;9.97613374252098
35;Yamaguchi;2014;12;201412;2014-12-01;3;9;12;-0.998528830111127;;2.8;381188;42436;13087;0.159;0.218004983074649;-0.428609526183554;-0.382992543599144;-0.311134215614948;0.563519584884923;12;0;12.8510479707284;10.6557523375792;9.47937465005548
36;Tokushima;2014;12;201412;2014-12-01;0;4;4;-2.19722457733622;;3;193145;25735;8407;0.158;0.495398802486044;-1.23576406610775;-1.14112255270223;-1.02372954632191;0.515243584903895;12;0;12.1711964811427;10.1556072120869;9.0368199711353
37;Kagawa;2014;12;201412;2014-12-01;2;7;9;-1.09861228866811;;2.8;305359;29183;9304;0.148;0.218004983074649;-0.691947268057036;-0.950531805705734;-0.860489339576222;0.0324835850936174;12;0;12.6292434125906;10.2813416269361;9.1381996941985
38;Ehime;2014;12;201412;2014-12-01;2;8;10;-1.22377543162212;;2.8;382637;45108;12216;0.154;0.218004983074649;-0.424105014955692;-0.29043269725757;-0.422032236311819;0.322139584979784;12;0;12.8548420380558;10.7168148933522;9.41050184689847
39;Kochi;2014;12;201412;2014-12-01;2;4;6;-0.587786664902119;;3;191612;25177;8059;0.171;0.495398802486044;-1.24522492487282;-1.17435092551185;-1.09180050046279;1.14283158465726;12;0;12.1632277730379;10.133686158324;8.99454475832451
40;Fukuoka;2014;12;201412;2014-12-01;8;20;28;-0.880358722648092;;4.2;1582420;118967;35849;0.122;2.15976171895442;1.2613451834982;1.17958916811109;1.3114442215377;-1.2226924144131;12;0;14.2744658788;11.6866014227115;10.4870709516359
41;Saga;2014;12;201412;2014-12-01;2;6;8;-0.955511445027436;;3.2;226633;20824;6826;0.143;0.77279262189744;-1.04593355110453;-1.46209102940521;-1.35917289176544;-0.208896414811521;12;0;12.3310872480408;9.9438614466744;8.82849412946665
42;Nagasaki;2014;12;201412;2014-12-01;1;11;12;-2.03688192726104;;3.1;351198;41207;11868;0.153;0.634095712191742;-0.525895892232521;-0.427540848323828;-0.468568004163633;0.273863584998756;12;0;12.7691054459661;10.6263634238184;9.38160098141071
43;Kumamoto;2014;12;201412;2014-12-01;2;9;11;-1.33500106673234;;3.2;457096;53570;15895;0.152;0.77279262189744;-0.213003814942571;-0.0298183691852763;0.00186214183505241;0.225587585017729;12;0;13.0326487134612;10.888744488875;9.6737598733449
44;Oita;2014;12;201412;2014-12-01;0;2;2;-1.6094379124341;;3.5;318925;33353;10172;0.155;1.18888335101453;-0.640340029817035;-0.748076794999881;-0.716869716870781;0.370415584960812;12;0;12.6727112444065;10.4149030023205;9.22739412654201
45;Miyazaki;2014;12;201412;2014-12-01;0;9;9;-2.94443897916644;;3;282319;31253;9396;0.152;0.495398802486044;-0.785087718935122;-0.846654137698327;-0.844645670746381;0.225587585017729;12;0;12.550792916263;10.3498706505568;9.1480393457788
46;Kagoshima;2014;12;201412;2014-12-01;1;6;7;-1.46633706879343;;3.9;438111;52217;16551;0.159;1.74367098983732;-0.263368356971447;-0.0685947097137287;0.066981167471279;0.563519584884923;12;0;12.9902275819095;10.8631633913497;9.71420180194054
47;Okinawa;2014;12;201412;2014-12-01;2;18;20;-2.00148000021012;;4.9;375762;31935;8485;0.099;3.1306400868943;-0.445630824015232;-0.81393180371366;-1.00885914642102;-2.33304041397674;12;0;12.836711243233;10.3714578659957;9.04605517766833
1;Hokkaido;2015;1;201501;2015-01-01;5;16;21;-1.09861228866811;;3.8;1427943;138750;42029;0.14;1.60497408013163;1.13939029006964;1.41276414191239;1.56753493297499;-0.353724414754603;1;1;14.1717455051186;11.8404290316087;10.646115135187
2;Aomori;2015;1;201501;2015-01-01;1;5;6;-1.29928298413026;;4.5;341527;45829;11497;0.149;2.57585244807151;-0.559048017570766;-0.266395635166482;-0.519706818943849;0.0807595850746452;1;1;12.7411820178252;10.7326723574964;9.34984141075374
3;Iwate;2015;1;201501;2015-01-01;5;5;10;0 ;;3.3;357651;42709;12940;0.16;0.911489531603137;-0.504279034329892;-0.373272177360182;-0.329323008259833;0.611795584865951;1;1;12.7873129295623;10.662164949841;9.46807856805489
4;Miyagi;2015;1;201501;2015-01-01;0;5;5;-2.39789527279837;;3.9;684571;55287;16091;0.125;1.74367098983732;0.266525700237506;0.018003615515973;0.021595800209494;-1.07786441447002;1;1;13.4365476436785;10.9202930785001;9.68601538845915
5;Akita;2015;1;201501;2015-01-01;0;9;9;-2.94443897916644;;4;281278;41007;12048;0.18;1.88236789954302;-0.789473583198782;-0.434915860074223;-0.444329925414927;1.5773155844865;1;1;12.547098783101;10.6214980628208;9.39665395003967
6;Yamagata;2015;1;201501;2015-01-01;3;6;9;-0.619039208406224;;3.1;315384;37540;11503;0.167;0.634095712191742;-0.653595715597596;-0.568816965113878;-0.518866721901974;0.949727584733145;1;1;12.6615462229916;10.5331623101405;9.35036314989601
7;Fukushima;2015;1;201501;2015-01-01;1;10;11;-1.94591014905531;;3.4;547812;59346;17069;0.148;1.05018644130883;0.00193464349606257;0.125394801069429;0.116602960309188;0.0324835850936174;1;1;13.2136874413762;10.9911400009679;9.74501923176433
8;Ibaraki;2015;1;201501;2015-01-01;4;9;13;-0.747214401830221;;3.4;737245;67737;22557;0.12;1.05018644130883;0.35453414437081;0.325858724628109;0.565492995539814;-1.31924441437516;1;1;13.5106755446945;11.1233878384114;10.0238007180461
9;Tochigi;2015;1;201501;2015-01-01;4;10;14;-0.847297860387204;;3.2;532328;45120;12815;0.119;0.77279262189744;-0.0321066066457572;-0.290029500008235;-0.344952969467608;-1.36752041435619;1;1;13.1850151196936;10.7170808861719;9.45837163879817
10;Gunma;2015;1;201501;2015-01-01;1;8;9;-1.73460105538811;;3.2;563120;50719;15130;0.129;0.77279262189744;0.0346559851195708;-0.112716469892397;-0.0775603878397214;-0.884760414545909;1;1;13.241248028282;10.8340558728284;9.6244348067824
11;Saitama;2015;1;201501;2015-01-01;6;13;19;-0.730887508542792;;3.4;1369286;136132;40253;0.101;1.05018644130883;1.08959042907902;1.38388966568886;1.49801463733536;-2.23648841401468;1;1;14.1297999940659;11.8213802822373;10.6029398142307
12;Chiba;2015;1;201501;2015-01-01;6;14;20;-0.802346472524937;;3;1092660;126988;33735;0.111;0.495398802486044;0.821658276976315;1.2784910453239;1.2135774431972;-1.75372841420441;1;1;13.9041256483179;11.7518478727875;10.4262911530615
13;Tokyo;2015;1;201501;2015-01-01;54;117;171;-0.768237631915015;;3.8;9198851;282053;69563;0.107;1.60497408013163;3.35105375253104;2.48811908729488;2.37886409993595;-1.94683241412852;1;1;16.0345891429154;12.5498502755235;11.1499880957728
14;Kanagawa;2015;1;201501;2015-01-01;11;30;41;-0.975379648244162;;3.4;2013827;190888;50062;0.105;1.05018644130883;1.54756958332029;1.89633061933003;1.84916029139568;-2.04338441409057;1;1;14.5155474498621;12.1594421476019;10.8210175162452
15;Niigata;2015;1;201501;2015-01-01;3;9;12;-0.998528830111127;;3.2;698185;75681;25168;0.154;0.77279262189744;0.289904750469073;0.493954950539115;0.741853294068942;0.322139584979784;1;1;13.4562393896068;11.2342824171691;10.1333286252981
16;Toyama;2015;1;201501;2015-01-01;3;0;3;1.94591014905531;;2.5;351090;34439;11618;0.147;-0.198085746042444;-0.52626105050792;-0.699507010536036;-0.502848996677735;-0.0157924148874103;1;1;12.7687978798369;10.4469449221155;9.36031089855248
17;Ishikawa;2015;1;201501;2015-01-01;3;1;4;0.847297860387204;;2.6;355043;31000;10669;0.131;-0.0593888363367464;-0.512968219635136;-0.858974976341978;-0.640058222744553;-0.788208414583853;1;1;12.7799941878829;10.3417424834673;9.27509761919146
18;Fukui;2015;1;201501;2015-01-01;1;4;5;-1.09861228866811;;2.1;243825;23254;7982;0.146;-0.752873384865235;-0.959123180287087;-1.29478846595939;-1.10725904684304;-0.0640684148684381;1;1;12.4042060338402;10.0542324392286;8.98494428560868
19;Yamanashi;2015;1;201501;2015-01-01;0;5;5;-2.39789527279837;;3.2;202657;24120;6463;0.14;0.77279262189744;-1.17868851379549;-1.23936370088665;-1.44716189678501;-0.353724414754603;1;1;12.2192701737742;10.0907966508411;8.7738488852629
20;Nagano;2015;1;201501;2015-01-01;5;13;18;-0.897941593205959;;3.2;588680;60594;19155;0.153;0.77279262189744;0.0873580603857308;0.156940769031357;0.302257120357295;0.273863584998756;1;1;13.2856380212781;11.0119511572546;9.86031905713475
21;Gifu;2015;1;201501;2015-01-01;1;10;11;-1.94591014905531;;2.4;554575;52717;15761;0.132;-0.336782655748142;0.0165020885574658;-0.0541491389553172;-0.0117697893895617;-0.739932414602825;1;1;13.2259573336144;10.8726932631567;9.66529381317554
22;Shizuoka;2015;1;201501;2015-01-01;3;7;10;-0.762140052046897;;2.6;1095086;84289;29318;0.13;-0.0593888363367464;0.824291373090363;0.657245501191487;0.987613264930262;-0.836484414564881;1;1;13.9063434569615;11.3420066491176;10.28595694085
23;Aichi;2015;1;201501;2015-01-01;11;27;38;-0.871838969303321;;2.2;2643462;141340;39750;0.104;-0.614176475159537;1.8705642930446;1.44079860108764;1.4777670413616;-2.0916604140716;1;1;14.7875999796725;11.8589236142448;10.5903651200825
24;Mie;2015;1;201501;2015-01-01;4;10;14;-0.847297860387204;;2;462585;49901;14895;0.133;-0.891570294570933;-0.198831727955887;-0.137363023618767;-0.102766144885363;-0.691656414621798;1;1;13.0445856028322;10.817796321619;9.60878086514738
25;Shiga;2015;1;201501;2015-01-01;3;5;8;-0.451985123743057;;2.5;357931;31575;8216;0.11;-0.198085746042444;-0.503349915456825;-0.831116532500422;-1.06073358335702;-1.80200441418544;1;1;12.7880955093764;10.3601209472187;9.01383875160839
26;Kyoto;2015;1;201501;2015-01-01;6;9;15;-0.379489621704904;;3.6;707574;75142;20429;0.126;1.32758026072023;0.30576417995581;0.48312065490555;0.405939702443438;-1.02958841448899;1;1;13.4695974966696;11.2271349357554;9.92471073898765
27;Osaka;2015;1;201501;2015-01-01;15;46;61;-1.09861228866811;;4.3;3354610;227657;48955;0.115;2.29845862866011;2.15342227335381;2.16334723487827;1.81315536036978;-1.5606244142803;1;1;15.0258460772197;12.3355953892469;10.7986567877882
28;Hyogo;2015;1;201501;2015-01-01;8;27;35;-1.17411984117625;;3.7;1308956;128555;37174;0.124;1.46627717042593;1.03609340576104;1.29708141790899;1.36988418121663;-1.12614041445105;1;1;14.0847404308817;11.7641121073091;10.5233648711683
29;Nara;2015;1;201501;2015-01-01;2;3;5;-0.336472236621213;;3.1;225144;34979;10360;0.129;0.634095712191742;-1.05375964022531;-0.675923521003266;-0.687381754578518;-0.884760414545909;1;1;12.3244954764739;10.4625031603995;9.24570751581347
30;Wakayama;2015;1;201501;2015-01-01;0;2;2;-1.6094379124341;;2.4;227610;33698;9300;0.154;-0.336782655748142;-1.04082638919782;-0.732477846965713;-0.861181743784008;0.322139584979784;1;1;12.3353889170002;10.4251937673983;9.13776967914135
31;Tottori;2015;1;201501;2015-01-01;0;3;3;-1.94591014905531;;3.2;154318;19124;6076;0.157;0.77279262189744;-1.50221387324977;-1.59118141310818;-1.54658608397692;0.466967584922867;1;1;11.9467706874127;9.85869936974599;8.71210186371566
